,2. Datum nesreče,3. Ura nesreče,4. Nadzornik prisoten,5. Zdravnik prisoten,6. Reševalec prisoten,7. Udeleženec A – LETNICA ROJSTVA,8. Udeleženec A – država,9. Udeleženec A – zvrst smučanja,10. Udeleženec A – ravnanje pred nesrečo,11. Udeleženec B – LETO rojstva,12. Udeleženec B – država,13. Udeleženec B – zvrst smučanja,14. Skica nesreče,15. Fotografija kraja nesreče,16. Posnetek kraja nesreče,17. Vreme,18. Vidljivost,19. Temperatura,20. Vrsta snega,21. Veter,22. Telesna poškodba
267,15.1.2016,10:30,TRUE,,TRUE,2004,Slovenija,Alpsko,,,,,,,TRUE,4,1,-1,7,1,Lažja
268,14.1.2016,10:00,TRUE,,TRUE,2004,Slovenija,Alpsko,,,,,,,,1,1,-2,7,1,Lažja
269,12.1.2016,19:00,TRUE,,TRUE,1992,Slovenija,Alpsko,1,,,,,,,2,1,0,7,1,Lažja
270,5.1.2016,20:00,TRUE,,TRUE,1995,Slovenija,Deskanje,1,,,,TRUE,TRUE,,1,1,-1,7,1,Lažja
271,4.1.2016,11:30,TRUE,,TRUE,2002,Hrvaška,Alpsko,,,,,TRUE,TRUE,,2,1,-5,7,1,Lažja
272,1.1.2016,21:00,TRUE,,TRUE,1995,Slovenija,Deskanje,,,,,,,,1,1,-1,7,1,Lažja
273,5.3.2016,11:00,TRUE,,TRUE,2004,Slovenija,Alpsko,1,,,,,TRUE,,5,1,-2,8,2,Lažja
274,6.3.2016,11:00,TRUE,,TRUE,2002,Slovenija,Alpsko,1,,,,,TRUE,,5,1,-2,8,1,Lažja
275,12.3.2016,14:30,TRUE,,TRUE,2008,Slovenija,Alpsko,1,,,,,TRUE,,2,1,2,12,1,Lažja
276,21.2.2016,13:30,TRUE,TRUE,TRUE,1965,Slovenija,Alpsko,2,,,,TRUE,TRUE,,2,2,8,,1,Lažja
277,20.2.2016,20:30,TRUE,,TRUE,1981,Slovenija,Alpsko,2,,,,TRUE,TRUE,,1,1,-15,7,1,Lažja
278,20.2.2016,15:30,TRUE,TRUE,TRUE,1964,Hrvaška,Alpsko,25,,,,,,,5,3,-1,7,2,Lažja
279,20.2.2016,11:30,TRUE,TRUE,TRUE,2003,Slovenija,Alpsko,2,,,,TRUE,TRUE,,1,2,1,7,1,Lažja
280,20.2.2016,10:30,TRUE,TRUE,TRUE,1985,Slovenija,Alpsko,,,,,TRUE,TRUE,,1,2,0,7,0,Lažja
